dataset,regime,model,baseline,alpha,gamma,worst_group_tail,worst_group_tail_std,baseline_worst_group_tail,margin,margin_pct
adult,infeasible,fedcvar,fedavg,0.3,0.1,0.388534,0.00304156,0.390741,0.0022062,0.56462
adult,infeasible,fedcvar,fedavg,0.7,0.4,0.388541,0.00210543,0.390741,0.0021996,0.562931
adult,infeasible,fedcvar,fedavg,0.4,0.7,0.388581,0.00207756,0.390741,0.0021598,0.552745
adult,infeasible,fedcvar,fedavg,0.2,0.1,0.388586,0.00275075,0.390741,0.0021544,0.551363
adult,infeasible,fedcvar,fedavg,0.8,0.4,0.388598,0.00240287,0.390741,0.0021422,0.548241
adult,infeasible,fedcvar,fedavg,0.4,0.5,0.388621,0.00227833,0.390741,0.0021192,0.542355
adult,infeasible,fedcvar,fedavg,0.1,0.2,0.388629,0.00255006,0.390741,0.0021112,0.540307
adult,infeasible,fedcvar,fedavg,0.7,0.5,0.388734,0.00212216,0.390741,0.0020068,0.513589
adult,infeasible,fedcvar,fedavg,0.3,0.9,0.38878,0.0020742,0.390741,0.0019606,0.501765
adult,infeasible,fedcvar,fedavg,0.4,0.4,0.388811,0.00242832,0.390741,0.0019298,0.493883
adult,infeasible,fedcvar,fedavg,0.8,0.5,0.388834,0.00238283,0.390741,0.0019068,0.487996
adult,infeasible,fedcvar,fedavg,0.6,0.1,0.388897,0.0023822,0.390741,0.0018434,0.471771
adult,infeasible,fedcvar,fedavg,0.4,0.1,0.388928,0.00251188,0.390741,0.001813,0.463991
adult,infeasible,fedcvar,fedavg,0.4,0.8,0.388931,0.00208507,0.390741,0.00181,0.463223
adult,infeasible,fedcvar,fedavg,0.4,0.3,0.388946,0.0024167,0.390741,0.0017946,0.459282
adult,infeasible,fedcvar,fedavg,0.4,0.2,0.389002,0.00250681,0.390741,0.0017388,0.445001
adult,infeasible,fedcvar,fedavg,0.7,0.6,0.389017,0.00216984,0.390741,0.0017236,0.441111
adult,infeasible,fedcvar,fedavg,0.6,0.2,0.389033,0.0022732,0.390741,0.0017078,0.437067
adult,infeasible,fedcvar,fedavg,0.5,0.1,0.389085,0.00243968,0.390741,0.0016558,0.423759
adult,infeasible,fedcvar,fedavg,0.8,0.6,0.389116,0.00238733,0.390741,0.0016242,0.415672
adult,infeasible,fedcvar,fedavg,0.6,0.3,0.389203,0.00225021,0.390741,0.001538,0.393612
adult,infeasible,fedcvar,fedavg,0.5,0.2,0.389287,0.00246304,0.390741,0.0014532,0.371909
adult,infeasible,fedcvar,fedavg,0.6,0.4,0.389355,0.00217936,0.390741,0.0013856,0.354609
adult,infeasible,fedcvar,fedavg,0.7,0.7,0.389365,0.00222988,0.390741,0.001376,0.352152
adult,infeasible,fedcvar,fedavg,0.5,0.3,0.389404,0.00231986,0.390741,0.0013368,0.34212
adult,infeasible,fedcvar,fedavg,0.5,0.4,0.38944,0.00233075,0.390741,0.0013004,0.332804
adult,infeasible,fedcvar,fedavg,0.9,0.1,0.38945,0.00230714,0.390741,0.001291,0.330398
adult,infeasible,fedcvar,fedavg,0.8,0.7,0.389462,0.00235971,0.390741,0.001279,0.327327
adult,infeasible,fedcvar,fedavg,0.6,0.5,0.389494,0.00218157,0.390741,0.0012464,0.318984
adult,infeasible,fedcvar,fedavg,0.5,0.5,0.389497,0.00226611,0.390741,0.0012438,0.318319
adult,infeasible,fedcvar,fedavg,0.9,0.2,0.389517,0.00232317,0.390741,0.0012236,0.313149
adult,infeasible,fedcvar,fedavg,0.5,0.6,0.389522,0.00223955,0.390741,0.0012184,0.311818
adult,infeasible,fedcvar,fedavg,0.4,0.9,0.389568,0.00213729,0.390741,0.0011722,0.299994
adult,infeasible,fedcvar,fedavg,0.5,0.7,0.389571,0.00212742,0.390741,0.00117,0.299431
adult,infeasible,fedcvar,fedavg,0.1,0.1,0.389585,0.00306423,0.390741,0.001156,0.295848
adult,infeasible,fedcvar,fedavg,0.9,0.3,0.3896,0.00231993,0.390741,0.001141,0.29201
adult,infeasible,fedcvar,fedavg,0.9,0.4,0.389692,0.00233645,0.390741,0.0010484,0.268311
adult,infeasible,fedcvar,fedavg,0.6,0.6,0.389716,0.00218286,0.390741,0.0010242,0.262118
adult,infeasible,fedcvar,fedavg,0.5,0.8,0.389766,0.00211598,0.390741,0.0009746,0.249424
adult,infeasible,fedcvar,fedavg,0.7,0.8,0.389787,0.00227,0.390741,0.000954,0.244152
adult,infeasible,fedcvar,fedavg,0.9,0.5,0.389818,0.00232034,0.390741,0.000923,0.236218
adult,infeasible,fedcvar,fedavg,0.8,0.8,0.389839,0.00234641,0.390741,0.0009018,0.230793
adult,infeasible,fedcvar,fedavg,0.6,0.7,0.389874,0.00211004,0.390741,0.0008664,0.221733
adult,infeasible,fedcvar,fedavg,0.9,0.6,0.389954,0.00232012,0.390741,0.0007866,0.20131
adult,infeasible,fedcvar,fedavg,0.6,0.8,0.390076,0.00214827,0.390741,0.0006642,0.169985
adult,infeasible,fedcvar,fedavg,0.9,0.7,0.390109,0.0023127,0.390741,0.0006318,0.161693
adult,infeasible,fedcvar,fedavg,0.5,0.9,0.39011,0.00215807,0.390741,0.000631,0.161488
adult,infeasible,fedcvar,fedavg,0.8,0.9,0.390263,0.00232718,0.390741,0.0004778,0.122281
adult,infeasible,fedcvar,fedavg,0.7,0.9,0.390268,0.00229202,0.390741,0.0004728,0.121001
adult,infeasible,fedcvar,fedavg,0.9,0.8,0.390289,0.00230776,0.390741,0.0004514,0.115524
adult,infeasible,fedcvar,fedavg,0.6,0.9,0.390364,0.00221212,0.390741,0.0003762,0.0962787
adult,infeasible,fedcvar,fedavg,0.9,0.9,0.390511,0.00230138,0.390741,0.0002298,0.0588114
imdbwiki,feasible,fedavot_cvar,fedavot,0.9,0.2,122.694,1.14591,122.823,0.1288,0.104866
imdbwiki,feasible,fedavot_cvar,fedavot,0.9,0.1,122.704,1.15589,122.823,0.1192,0.0970502
imdbwiki,feasible,fedavot_cvar,fedavot,0.9,0.3,122.713,1.14824,122.823,0.1102,0.0897226
imdbwiki,feasible,fedavot_cvar,fedavot,0.9,0.4,122.713,1.14875,122.823,0.1098,0.0893969
imdbwiki,feasible,fedavot_cvar,fedavot,0.9,0.5,122.727,1.15663,122.823,0.096,0.0781613
imdbwiki,feasible,fedavot_cvar,fedavot,0.9,0.6,122.745,1.16692,122.823,0.0784,0.0638317
imdbwiki,feasible,fedavot_cvar,fedavot,0.8,0.6,122.78,1.17812,122.823,0.0432,0.0351726
imdbwiki,feasible,fedavot_cvar,fedavot,0.8,0.7,122.785,1.17791,122.823,0.0382,0.0311017
imdbwiki,feasible,fedavot_cvar,fedavot,0.8,0.5,122.794,1.1675,122.823,0.0288,0.0234484
imdbwiki,feasible,fedavot_cvar,fedavot,0.9,0.7,122.809,1.17685,122.823,0.0138,0.0112357
imdbwiki,feasible,fedavot_cvar,fedavot,0.8,0.4,122.82,1.18319,122.823,0.0032,0.00260538
imdbwiki,feasible,fedcvar,fedavg,0.4,0.8,110.784,0.420588,111.121,0.337,0.303272
imdbwiki,feasible,fedcvar,fedavg,0.5,0.8,110.8,0.430504,111.121,0.3212,0.289053
imdbwiki,feasible,fedcvar,fedavg,0.5,0.7,110.802,0.44374,111.121,0.319,0.287073
imdbwiki,feasible,fedcvar,fedavg,0.6,0.7,110.81,0.440158,111.121,0.3112,0.280054
imdbwiki,feasible,fedcvar,fedavg,0.3,0.9,110.825,0.399013,111.121,0.296,0.266375
imdbwiki,feasible,fedcvar,fedavg,0.7,0.5,110.826,0.460417,111.121,0.2954,0.265835
imdbwiki,feasible,fedcvar,fedavg,0.6,0.6,110.826,0.45135,111.121,0.295,0.265475
imdbwiki,feasible,fedcvar,fedavg,0.7,0.6,110.831,0.444548,111.121,0.2908,0.261696
imdbwiki,feasible,fedcvar,fedavg,0.8,0.3,110.836,0.475573,111.121,0.2858,0.257196
imdbwiki,feasible,fedcvar,fedavg,0.9,0.1,110.836,0.465088,111.121,0.285,0.256476
imdbwiki,feasible,fedcvar,fedavg,0.8,0.2,110.844,0.498507,111.121,0.2776,0.249817
imdbwiki,feasible,fedcvar,fedavg,0.7,0.4,110.846,0.484339,111.121,0.2758,0.248197
imdbwiki,feasible,fedcvar,fedavg,0.8,0.4,110.846,0.456685,111.121,0.2754,0.247837
imdbwiki,feasible,fedcvar,fedavg,0.9,0.2,110.856,0.449559,111.121,0.2656,0.239018
imdbwiki,feasible,fedcvar,fedavg,0.2,0.9,110.857,0.458384,111.121,0.2644,0.237938
imdbwiki,feasible,fedcvar,fedavg,0.6,0.8,110.857,0.422171,111.121,0.264,0.237578
imdbwiki,feasible,fedcvar,fedavg,0.7,0.7,110.859,0.424203,111.121,0.2628,0.236498
imdbwiki,feasible,fedcvar,fedavg,0.8,0.1,110.869,0.50573,111.121,0.2528,0.227499
imdbwiki,feasible,fedcvar,fedavg,0.3,0.8,110.87,0.479098,111.121,0.2512,0.226059
imdbwiki,feasible,fedcvar,fedavg,0.8,0.5,110.874,0.444636,111.121,0.2474,0.222639
imdbwiki,feasible,fedcvar,fedavg,0.9,0.3,110.878,0.449333,111.121,0.2438,0.2194
imdbwiki,feasible,fedcvar,fedavg,0.6,0.5,110.879,0.489108,111.121,0.2422,0.21796
imdbwiki,feasible,fedcvar,fedavg,0.4,0.9,110.885,0.410085,111.121,0.2368,0.2131
imdbwiki,feasible,fedcvar,fedavg,0.5,0.6,110.891,0.480784,111.121,0.2302,0.207161
imdbwiki,feasible,fedcvar,fedavg,0.7,0.3,110.902,0.51755,111.121,0.2194,0.197442
imdbwiki,feasible,fedcvar,fedavg,0.9,0.4,110.904,0.441257,111.121,0.2178,0.196002
imdbwiki,feasible,fedcvar,fedavg,0.8,0.6,110.908,0.425264,111.121,0.2136,0.192222
imdbwiki,feasible,fedcvar,fedavg,0.4,0.7,110.909,0.464697,111.121,0.2126,0.191322
imdbwiki,feasible,fedcvar,fedavg,0.9,0.5,110.941,0.43182,111.121,0.1802,0.162165
imdbwiki,feasible,fedcvar,fedavg,0.7,0.8,110.943,0.406984,111.121,0.1788,0.160905
imdbwiki,feasible,fedcvar,fedavg,0.5,0.9,110.951,0.402142,111.121,0.1704,0.153346
imdbwiki,feasible,fedcvar,fedavg,0.8,0.7,110.96,0.409941,111.121,0.1618,0.145607
imdbwiki,feasible,fedcvar,fedavg,0.6,0.4,110.965,0.507452,111.121,0.1564,0.140747
imdbwiki,feasible,fedcvar,fedavg,0.7,0.2,110.977,0.527697,111.121,0.1444,0.129948
imdbwiki,feasible,fedcvar,fedavg,0.9,0.6,110.978,0.415281,111.121,0.1432,0.128868
imdbwiki,feasible,fedcvar,fedavg,0.6,0.9,111.036,0.40146,111.121,0.0858,0.0772129
imdbwiki,feasible,fedcvar,fedavg,0.8,0.8,111.038,0.401955,111.121,0.0832,0.0748731
imdbwiki,feasible,fedcvar,fedavg,0.9,0.7,111.039,0.412664,111.121,0.0828,0.0745131
imdbwiki,feasible,fedcvar,fedavg,0.5,0.5,111.063,0.509157,111.121,0.0582,0.0523752
imdbwiki,feasible,fedcvar,fedavg,0.7,0.1,111.075,0.563592,111.121,0.0468,0.0421161
imdbwiki,feasible,fedcvar,fedavg,0.6,0.3,111.09,0.532622,111.121,0.0312,0.0280774
imdbwiki,feasible,fedcvar,fedavg,0.7,0.9,111.117,0.39759,111.121,0.0044,0.00395963
