cell,dataset,regime,beta,tag,nu,group,model,n_seeds,rare_mean,rare_std,overall_mean,overall_std
adult_beta0.75_const,adult,infeasible,0.75,const,0.0,Amer-Indian-Eskimo,fedavot,5,0.1198528,0.0022947413274702656,0.2047582,0.00017794650881655332
adult_beta0.75_const,adult,infeasible,0.75,const,0.0,Amer-Indian-Eskimo,fedavg,5,0.1465956,0.0019840650795777863,0.2098728,0.0003609822156284216
adult_beta0.75_const,adult,infeasible,0.75,const,0.0,Amer-Indian-Eskimo,full,5,0.118316,0.0,0.203774,0.0
adult_beta0.75_decay1000,adult,infeasible,0.75,decay1000,0.0,Other,fedavot,5,0.03091228,0.0009831309117304778,0.2075576,5.88238047052407e-05
adult_beta0.75_decay1000,adult,infeasible,0.75,decay1000,0.0,Other,fedavg,5,0.04443926,0.0013257526822148986,0.212563,0.00030664572392258044
adult_beta0.75_decay1000,adult,infeasible,0.75,decay1000,0.0,Other,full,5,0.0309206,0.0,0.207304,0.0
adult_beta0.75_decay1000,adult,infeasible,0.75,decay1000,0.0,Amer-Indian-Eskimo,fedavot,5,0.1230928,0.0018756194070226504,0.2075576,5.88238047052407e-05
adult_beta0.75_decay1000,adult,infeasible,0.75,decay1000,0.0,Amer-Indian-Eskimo,fedavg,5,0.1480978,0.0017170330689884798,0.212563,0.00030664572392258044
adult_beta0.75_decay1000,adult,infeasible,0.75,decay1000,0.0,Amer-Indian-Eskimo,full,5,0.122714,0.0,0.207304,0.0
adult_beta1.00_const,adult,infeasible,1.0,const,0.0,Other,fedavot,5,0.028717780000000002,0.0002753251779260295,0.2045332,6.545043926513638e-05
adult_beta1.00_const,adult,infeasible,1.0,const,0.0,Other,fedavg,5,0.03224516,0.0002869922967607312,0.204754,4.403634862247441e-05
adult_beta1.00_const,adult,infeasible,1.0,const,0.0,Other,full,5,0.0278196,0.0,0.203774,0.0
adult_beta1.00_const,adult,infeasible,1.0,const,0.0,Amer-Indian-Eskimo,fedavot,5,0.11949560000000001,0.0022638079953918333,0.2045332,6.545043926513638e-05
adult_beta1.00_const,adult,infeasible,1.0,const,0.0,Amer-Indian-Eskimo,fedavg,5,0.1273978,0.0024543821544331652,0.204754,4.403634862247441e-05
adult_beta1.00_const,adult,infeasible,1.0,const,0.0,Amer-Indian-Eskimo,full,5,0.118316,0.0,0.203774,0.0
adult_beta1.00_decay1000,adult,infeasible,1.0,decay1000,0.0,Other,fedavot,5,0.0317922,0.0005133994039731636,0.20748,5.128352561983135e-05
adult_beta1.00_decay1000,adult,infeasible,1.0,decay1000,0.0,Other,fedavg,5,0.03516812,0.0005611781941593961,0.207673,3.316021712835915e-05
adult_beta1.00_decay1000,adult,infeasible,1.0,decay1000,0.0,Other,fedavg_mk,5,999997000000.0,0.0,1000000000000.0,0.0
adult_beta1.00_decay1000,adult,infeasible,1.0,decay1000,0.0,Other,full,5,0.0309206,0.0,0.207304,0.0
