round,FedAVOT,"FedAVOT + CVaR (a=0.3, g=0.3)","FedCVaR uniform agg (a=0.3, g=0.3)",FedAvg (uniform over K),FedAvg (full)
3440,0.204763,0.21893,0.220789,0.205053,0.204034
3450,0.204641,0.219453,0.221403,0.204908,0.204025
3460,0.205048,0.219882,0.221671,0.205438,0.204015
3470,0.205103,0.220568,0.222322,0.205524,0.204007
3480,0.204891,0.219548,0.221171,0.205279,0.203998
3490,0.204732,0.218513,0.21998,0.204998,0.203989
3500,0.204512,0.218044,0.219481,0.204746,0.20398
3510,0.204379,0.21729,0.218685,0.204536,0.203971
3520,0.204625,0.218605,0.220175,0.204846,0.203962
3530,0.204843,0.217897,0.219444,0.205135,0.203953
3540,0.204565,0.216987,0.218529,0.204716,0.203945
3550,0.204616,0.217608,0.21906,0.204796,0.203936
3560,0.204817,0.218839,0.220552,0.205083,0.203927
3570,0.204679,0.21863,0.22041,0.204848,0.203919
3580,0.20487,0.218758,0.220601,0.205087,0.20391
3590,0.204554,0.218507,0.220155,0.204668,0.203902
3600,0.20493,0.219112,0.220691,0.205088,0.203893
3610,0.204548,0.217415,0.218887,0.204643,0.203885
3620,0.20466,0.21898,0.220181,0.204871,0.203876
3630,0.204537,0.218491,0.220176,0.204751,0.203868
3640,0.204434,0.21852,0.220045,0.204641,0.20386
3650,0.204628,0.218973,0.220462,0.20487,0.203851
3660,0.204908,0.219602,0.221015,0.205211,0.203843
3670,0.204819,0.217795,0.219129,0.204999,0.203835
3680,0.204706,0.217113,0.218399,0.204874,0.203827
3690,0.204728,0.218042,0.219708,0.204944,0.203819
3700,0.204551,0.218513,0.220077,0.204782,0.20381
3710,0.2046,0.217984,0.219459,0.204806,0.203802
3720,0.204998,0.218158,0.219695,0.205271,0.203794
3730,0.204693,0.218129,0.219703,0.204919,0.203786
3740,0.204514,0.218382,0.220296,0.204787,0.203778
3750,0.204524,0.217733,0.219351,0.20466,0.20377
3760,0.204307,0.218421,0.220137,0.204443,0.203763
3770,0.204455,0.219019,0.221032,0.204695,0.203755
3780,0.204364,0.216722,0.218282,0.204467,0.203747
3790,0.204327,0.215968,0.217742,0.204436,0.203739
3800,0.204461,0.217118,0.219019,0.204729,0.203731
3810,0.204693,0.21728,0.219143,0.204964,0.203724
3820,0.204251,0.217268,0.218985,0.204431,0.203716
3830,0.204777,0.219276,0.221306,0.205057,0.203708
3840,0.204263,0.217757,0.219357,0.204412,0.2037
3850,0.20463,0.218075,0.219798,0.204793,0.203693
3860,0.2046,0.217614,0.219239,0.204789,0.203685
3870,0.204449,0.218741,0.220286,0.204687,0.203678
3880,0.204448,0.218552,0.220411,0.204704,0.20367
3890,0.204585,0.21878,0.22039,0.204827,0.203663
3900,0.204742,0.217848,0.219303,0.204933,0.203655
3910,0.2046,0.218139,0.219817,0.20485,0.203648
3920,0.204415,0.217286,0.218942,0.204643,0.203641
3930,0.204715,0.217672,0.219074,0.20502,0.203633
3940,0.204204,0.217296,0.218703,0.204454,0.203626
3950,0.204182,0.217088,0.218731,0.20447,0.203619
3960,0.204242,0.217341,0.218987,0.204541,0.203611
3970,0.204454,0.217907,0.219482,0.204724,0.203604
3980,0.203889,0.21663,0.218334,0.204111,0.203597
3990,0.204181,0.217118,0.218733,0.204388,0.20359
3999,0.204518,0.218819,0.220467,0.204858,0.203583
