algorithm,dataset,regime,group,regret_mean,regret_std
FedAvg (unif-K),imdbwiki,infeasible,tier3,-2.13659,1.19946
FedAvg (unif-K),imdbwiki,infeasible,tier4,-14.8944,0.568419
FedAvg (unif-K),imdbwiki,infeasible,tier5,-28.975,0.48025
FedAVOT+CVaR,imdbwiki,infeasible,tier1,41.1431,0.812365
FedAVOT+CVaR,imdbwiki,infeasible,tier2,21.6653,1.51252
FedAVOT+CVaR,imdbwiki,infeasible,tier3,-1.51201,2.02434
FedAVOT+CVaR,imdbwiki,infeasible,tier4,-17.8604,0.696064
FedAVOT+CVaR,imdbwiki,infeasible,tier5,-1.68882,1.09572
FedCVaR,imdbwiki,infeasible,tier1,31.3245,0.971534
FedCVaR,imdbwiki,infeasible,tier2,18.8137,0.639702
FedCVaR,imdbwiki,infeasible,tier3,-2.10743,1.19931
FedCVaR,imdbwiki,infeasible,tier4,-14.8613,0.568928
FedCVaR,imdbwiki,infeasible,tier5,-28.9314,0.480319
FedAvg (full),imdbwiki,infeasible,tier1,0,0
FedAvg (full),imdbwiki,infeasible,tier2,0,0
FedAvg (full),imdbwiki,infeasible,tier3,0,0
FedAvg (full),imdbwiki,infeasible,tier4,0,0
FedAvg (full),imdbwiki,infeasible,tier5,0,0
